LGA Name,LGA Code,Gcc Name21,Sa4 Name21,Sa4 Code21,Sa3 Code21,Sa3 Name21
Shellharbour (C),16900,Rest of NSW,Hunter Valley exc Newcastle,106,10604,Upper Hunter
Shoalhaven (C),16950,Rest of NSW,Southern Highlands and Shoalhaven,114,11401,Shoalhaven
Shoalhaven (C),16950,Rest of NSW,Southern Highlands and Shoalhaven,114,11402,Southern Highlands
Singleton (A),17000,Rest of NSW,Hunter Valley exc Newcastle,106,10601,Lower Hunter
Singleton (A),17000,Rest of NSW,Hunter Valley exc Newcastle,106,10602,Maitland
Singleton (A),17000,Rest of NSW,Hunter Valley exc Newcastle,106,10603,Port Stephens
Singleton (A),17000,Rest of NSW,Hunter Valley exc Newcastle,106,10604,Upper Hunter
Snowy Monaro Regional (A),17040,Rest of NSW,Capital Region,101,10102,Queanbeyan
Snowy Monaro Regional (A),17040,Rest of NSW,Capital Region,101,10103,Snowy Mountains
Snowy Monaro Regional (A),17040,Rest of NSW,Capital Region,101,10104,South Coast
Snowy Monaro Regional (A),17040,Rest of NSW,Capital Region,101,10105,Goulburn - Mulwaree
Snowy Monaro Regional (A),17040,Rest of NSW,Capital Region,101,10106,Young - Yass
Snowy Valleys (A),17080,Rest of NSW,Riverina,113,11301,Griffith - Murrumbidgee (West)
Snowy Valleys (A),17080,Rest of NSW,Riverina,113,11302,Tumut - Tumbarumba
Snowy Valleys (A),17080,Rest of NSW,Riverina,113,11303,Wagga Wagga
Strathfield (A),17100,Greater Sydney,Sydney - Inner West,120,12001,Canada Bay
Strathfield (A),17100,Greater Sydney,Sydney - Inner West,120,12002,Leichhardt
Strathfield (A),17100,Greater Sydney,Sydney - Inner West,120,12003,Strathfield - Burwood - Ashfield
Sutherland Shire (A),17150,Greater Sydney,Sydney - Sutherland,128,12801,Cronulla - Miranda - Caringbah
Sutherland Shire (A),17150,Greater Sydney,Sydney - Sutherland,128,12802,Sutherland - Menai - Heathcote
Sydney (C),17200,Greater Sydney,Sydney - City and Inner South,117,11701,Botany
Sydney (C),17200,Greater Sydney,Sydney - City and Inner South,117,11702,Marrickville - Sydenham - Petersham
Sydney (C),17200,Greater Sydney,Sydney - City and Inner South,117,11703,Sydney Inner City
Tamworth Regional (A),17310,Rest of NSW,New England and North West,110,11001,Armidale
Tamworth Regional (A),17310,Rest of NSW,New England and North West,110,11002,Inverell - Tenterfield
Tamworth Regional (A),17310,Rest of NSW,New England and North West,110,11003,Moree - Narrabri
Tamworth Regional (A),17310,Rest of NSW,New England and North West,110,11004,Tamworth - Gunnedah
Temora (A),17350,Rest of NSW,Riverina,113,11301,Griffith - Murrumbidgee (West)
Temora (A),17350,Rest of NSW,Riverina,113,11302,Tumut - Tumbarumba
Temora (A),17350,Rest of NSW,Riverina,113,11303,Wagga Wagga
Tenterfield (A),17400,Rest of NSW,New England and North West,110,11001,Armidale
Tenterfield (A),17400,Rest of NSW,New England and North West,110,11002,Inverell - Tenterfield
Tenterfield (A),17400,Rest of NSW,New England and North West,110,11003,Moree - Narrabri
Tenterfield (A),17400,Rest of NSW,New England and North West,110,11004,Tamworth - Gunnedah
The Hills Shire (A),17420,Greater Sydney,Sydney - Baulkham Hills and Hawkesbury,115,11501,Baulkham Hills
The Hills Shire (A),17420,Greater Sydney,Sydney - Baulkham Hills and Hawkesbury,115,11502,Dural - Wisemans Ferry
The Hills Shire (A),17420,Greater Sydney,Sydney - Baulkham Hills and Hawkesbury,115,11503,Hawkesbury
The Hills Shire (A),17420,Greater Sydney,Sydney - Baulkham Hills and Hawkesbury,115,11504,Rouse Hill - McGraths Hill
Tweed (A),17550,Rest of NSW,Richmond - Tweed,112,11201,Richmond Valley - Coastal
Tweed (A),17550,Rest of NSW,Richmond - Tweed,112,11202,Richmond Valley - Hinterland
Tweed (A),17550,Rest of NSW,Richmond - Tweed,112,11203,Tweed Valley
Upper Hunter Shire (A),17620,Rest of NSW,Hunter Valley exc Newcastle,106,10601,Lower Hunter
Upper Hunter Shire (A),17620,Rest of NSW,Hunter Valley exc Newcastle,106,10602,Maitland
Upper Hunter Shire (A),17620,Rest of NSW,Hunter Valley exc Newcastle,106,10603,Port Stephens
Upper Hunter Shire (A),17620,Rest of NSW,Hunter Valley exc Newcastle,106,10604,Upper Hunter
Upper Lachlan Shire (A),17640,Rest of NSW,Capital Region,101,10102,Queanbeyan
Upper Lachlan Shire (A),17640,Rest of NSW,Capital Region,101,10103,Snowy Mountains
Upper Lachlan Shire (A),17640,Rest of NSW,Capital Region,101,10104,South Coast
Upper Lachlan Shire (A),17640,Rest of NSW,Capital Region,101,10105,Goulburn - Mulwaree
Upper Lachlan Shire (A),17640,Rest of NSW,Capital Region,101,10106,Young - Yass
Uralla (A),17650,Rest of NSW,New England and North West,110,11001,Armidale
Uralla (A),17650,Rest of NSW,New England and North West,110,11002,Inverell - Tenterfield
Uralla (A),17650,Rest of NSW,New England and North West,110,11003,Moree - Narrabri
Uralla (A),17650,Rest of NSW,New England and North West,110,11004,Tamworth - Gunnedah
Wagga Wagga (C),17750,Rest of NSW,Riverina,113,11301,Griffith - Murrumbidgee (West)
Wagga Wagga (C),17750,Rest of NSW,Riverina,113,11302,Tumut - Tumbarumba
Wagga Wagga (C),17750,Rest of NSW,Riverina,113,11303,Wagga Wagga
Walcha (A),17850,Rest of NSW,New England and North West,110,11001,Armidale
Walcha (A),17850,Rest of NSW,New England and North West,110,11002,Inverell - Tenterfield
Walcha (A),17850,Rest of NSW,New England and North West,110,11003,Moree - Narrabri
Walcha (A),17850,Rest of NSW,New England and North West,110,11004,Tamworth - Gunnedah
Walgett (A),17900,Rest of NSW,Far West and Orana,105,10501,Bourke - Cobar - Coonamble
Walgett (A),17900,Rest of NSW,Far West and Orana,105,10502,Broken Hill and Far West
Walgett (A),17900,Rest of NSW,Far West and Orana,105,10503,Dubbo
Warren (A),17950,Rest of NSW,Far West and Orana,105,10501,Bourke - Cobar - Coonamble
Warren (A),17950,Rest of NSW,Far West and Orana,105,10502,Broken Hill and Far West
Warren (A),17950,Rest of NSW,Far West and Orana,105,10503,Dubbo
Warrumbungle Shire (A),18020,Rest of NSW,Far West and Orana,105,10501,Bourke - Cobar - Coonamble
Warrumbungle Shire (A),18020,Rest of NSW,Far West and Orana,105,10502,Broken Hill and Far West
Warrumbungle Shire (A),18020,Rest of NSW,Far West and Orana,105,10503,Dubbo
Waverley (A),18050,Greater Sydney,Sydney - Eastern Suburbs,118,11801,Eastern Suburbs - North
Waverley (A),18050,Greater Sydney,Sydney - Eastern Suburbs,118,11802,Eastern Suburbs - South
Weddin (A),18100,Rest of NSW,Central West,103,10301,Bathurst
Weddin (A),18100,Rest of NSW,Central West,103,10302,Lachlan Valley
Weddin (A),18100,Rest of NSW,Central West,103,10303,Lithgow - Mudgee
Weddin (A),18100,Rest of NSW,Central West,103,10304,Orange
Wentworth (A),18200,Rest of NSW,Murray,109,10901,Albury
Wentworth (A),18200,Rest of NSW,Murray,109,10902,Lower Murray
Wentworth (A),18200,Rest of NSW,Murray,109,10903,Upper Murray exc. Albury
Willoughby (C),18250,Greater Sydney,Sydney - North Sydney and Hornsby,121,12101,Chatswood - Lane Cove
Willoughby (C),18250,Greater Sydney,Sydney - North Sydney and Hornsby,121,12102,Hornsby
Willoughby (C),18250,Greater Sydney,Sydney - North Sydney and Hornsby,121,12103,Ku-ring-gai
Willoughby (C),18250,Greater Sydney,Sydney - North Sydney and Hornsby,121,12104,North Sydney - Mosman
Wingecarribee (A),18350,Rest of NSW,Southern Highlands and Shoalhaven,114,11401,Shoalhaven
Wingecarribee (A),18350,Rest of NSW,Southern Highlands and Shoalhaven,114,11402,Southern Highlands
Wollondilly (A),18400,Greater Sydney,Sydney - Outer West and Blue Mountains,124,12401,Blue Mountains
Wollondilly (A),18400,Greater Sydney,Sydney - Outer West and Blue Mountains,124,12402,Blue Mountains - South
Wollondilly (A),18400,Greater Sydney,Sydney - Outer West and Blue Mountains,124,12403,Penrith
Wollondilly (A),18400,Greater Sydney,Sydney - Outer West and Blue Mountains,124,12404,Richmond - Windsor
Wollondilly (A),18400,Greater Sydney,Sydney - Outer West and Blue Mountains,124,12405,St Marys
Wollongong (C),18450,Rest of NSW,Hunter Valley exc Newcastle,106,10601,Lower Hunter
Wollongong (C),18450,Rest of NSW,Hunter Valley exc Newcastle,106,10602,Maitland
Wollongong (C),18450,Rest of NSW,Hunter Valley exc Newcastle,106,10603,Port Stephens
Wollongong (C),18450,Rest of NSW,Hunter Valley exc Newcastle,106,10604,Upper Hunter
Woollahra (A),18500,Greater Sydney,Sydney - Eastern Suburbs,118,11801,Eastern Suburbs - North
Woollahra (A),18500,Greater Sydney,Sydney - Eastern Suburbs,118,11802,Eastern Suburbs - South
Yass Valley (A),18710,Rest of NSW,Capital Region,101,10102,Queanbeyan
Yass Valley (A),18710,Rest of NSW,Capital Region,101,10103,Snowy Mountains
Yass Valley (A),18710,Rest of NSW,Capital Region,101,10104,South Coast
Yass Valley (A),18710,Rest of NSW,Capital Region,101,10105,Goulburn - Mulwaree
Yass Valley (A),18710,Rest of NSW,Capital Region,101,10106,Young - Yass
